Type,Vehicle_Type,Vehicle_Segment,Country,Motor_Energy,Year,Units
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Bioethanol,2024,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Compressed natural gas (CNG),2017,944.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Compressed natural gas (CNG),2018,951.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Diesel,2017,381199.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Diesel,2018,397958.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Diesel,2019,414328.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Diesel,2020,430749.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Diesel,2021,462520.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Diesel,2022,464892.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Diesel,2023,470545.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Diesel,2024,476066.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Diesel (excluding hybrids),2017,381199.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Diesel (excluding hybrids),2018,397958.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Diesel (excluding hybrids),2019,414326.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Diesel (excluding hybrids),2020,430725.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Diesel (excluding hybrids),2021,462249.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Diesel (excluding hybrids),2022,464351.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Diesel (excluding hybrids),2023,469646.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Diesel (excluding hybrids),2024,475101.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Electricity,2017,1711.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Electricity,2018,2141.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Electricity,2019,2605.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Electricity,2020,3330.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Electricity,2021,5627.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Electricity,2022,7582.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Electricity,2023,10584.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Electricity,2024,13120.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Hybrid diesel-electric,2017,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Hybrid diesel-electric,2018,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Hybrid diesel-electric,2019,2.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Hybrid diesel-electric,2020,24.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Hybrid diesel-electric,2021,271.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Hybrid diesel-electric,2022,541.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Hybrid diesel-electric,2023,899.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Hybrid diesel-electric,2024,965.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Hybrid electric-petrol,2017,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Hybrid electric-petrol,2018,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Hybrid electric-petrol,2019,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Hybrid electric-petrol,2020,11.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Hybrid electric-petrol,2021,36.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Hybrid electric-petrol,2022,50.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Hybrid electric-petrol,2023,55.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Hybrid electric-petrol,2024,130.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Liquefied petroleum gases (LPG),2017,2.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Liquefied petroleum gases (LPG),2018,3.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Liquefied petroleum gases (LPG),2019,4.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Liquefied petroleum gases (LPG),2020,4.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Liquefied petroleum gases (LPG),2021,4.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Liquefied petroleum gases (LPG),2022,4.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Liquefied petroleum gases (LPG),2023,4.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Liquefied petroleum gases (LPG),2024,4.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Natural gas,2017,944.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Natural gas,2018,951.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Natural gas,2019,916.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Natural gas,2020,927.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Natural gas,2021,867.0
